"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.19","142.250.68.10","TCP","54","56934  >  443 [FIN, ACK] Seq=1 Ack=1 Win=507 Len=0"
"2","0.038834","192.168.1.102","224.0.0.251","MDNS","124","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question"
"3","0.000000","fe80::10ba:ac04:f83d:2539","ff02::fb","MDNS","144","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question"
"4","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.179? Tell 209.33.202.177"
"5","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.217.76? Tell 209.33.217.65"
"6","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.186? Tell 209.33.202.177"
"7","0.000000","192.168.1.34","224.0.0.251","MDNS","91","Standard query 0x0000 PTR _raop._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question"
"8","0.000000","fe80::c7c:71ae:536b:9e17","ff02::fb","MDNS","111","Standard query 0x0000 PTR _raop._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question"
"9","0.016016","142.250.68.10","192.168.1.19","TCP","60","443  >  56934 [ACK] Seq=1 Ack=2 Win=283 Len=0"
"10","0.390772","209.33.202.177","255.255.255.255","MNDP","195","5678  >  5678 Len=153"
"11","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.189? Tell 209.33.202.177"
"12","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.180? Tell 209.33.202.177"
"13","0.027330","192.168.1.19","54.158.199.15","TLSv1.2","91","Application Data"
"14","0.083332","54.158.199.15","192.168.1.19","TLSv1.2","87","Application Data"
"15","0.038768","142.250.68.10","192.168.1.19","TLSv1.2","136","Application Data"
"16","0.003549","192.168.1.19","54.158.199.15","TCP","54","55486  >  443 [ACK] Seq=38 Ack=34 Win=509 Len=0"
"17","0.046802","192.168.1.19","142.250.68.10","TCP","54","56910  >  443 [ACK] Seq=1 Ack=83 Win=255 Len=0"
"18","0.210601","fe80::10ba:ac04:f83d:2539","ff02::fb","MDNS","144","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"19","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.179? Tell 209.33.202.177"
"20","0.155050","192.168.1.19","8.8.8.8","DNS","86","Standard query 0x1244 A static-mobile.qustodio.com"
"21","0.028929","192.168.1.19","8.8.4.4","DNS","86","Standard query 0x1244 A static-mobile.qustodio.com"
"22","0.015283","8.8.8.8","192.168.1.19","DNS","321","Standard query response 0x1244 A static-mobile.qustodio.com CNAME static-mobile.qustodio.com.s3-website-us-east-1.amazonaws.com CNAME s3-website.us-east-1.amazonaws.com A 52.216.222.141 A 54.231.204.133 A 52.216.214.117 A 52.217.170.77 A 52.216.51.197 A 52.216.52.221 A 52.217.106.83 A 52.216.112.202"
"23","0.000635","192.168.1.19","52.216.222.141","TCP","66","56938  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"24","0.039049","8.8.4.4","192.168.1.19","DNS","321","Standard query response 0x1244 A static-mobile.qustodio.com CNAME static-mobile.qustodio.com.s3-website-us-east-1.amazonaws.com CNAME s3-website.us-east-1.amazonaws.com A 52.217.117.253 A 52.216.52.61 A 54.231.192.37 A 52.216.39.109 A 52.217.164.69 A 52.216.61.165 A 52.217.84.99 A 52.217.206.13"
"25","0.031787","52.216.222.141","192.168.1.19","TCP","66","80  >  56938 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1432 WS=256 SACK_PERM"
"26","0.000145","192.168.1.19","52.216.222.141","TCP","54","56938  >  80 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"27","0.000123","192.168.1.19","52.216.222.141","HTTP","159","GET /zero.html HTTP/1.1 "
"28","0.079102","52.216.222.141","192.168.1.19","TCP","60","80  >  56938 [ACK] Seq=1 Ack=106 Win=64256 Len=0"
"29","0.018312","52.216.222.141","192.168.1.19","HTTP","410","HTTP/1.1 200 OK "
"30","0.000212","192.168.1.19","52.216.222.141","TCP","54","56938  >  80 [FIN, ACK] Seq=106 Ack=357 Win=131328 Len=0"
"31","0.035067","142.250.68.10","192.168.1.19","TLSv1.2","136","Application Data"
"32","0.006486","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.217.76? Tell 209.33.217.65"
"33","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.186? Tell 209.33.202.177"
"34","0.034595","52.216.222.141","192.168.1.19","TCP","60","80  >  56938 [FIN, ACK] Seq=357 Ack=107 Win=64256 Len=0"
"35","0.000191","192.168.1.19","52.216.222.141","TCP","54","56938  >  80 [ACK] Seq=107 Ack=358 Win=131328 Len=0"
"36","0.005766","192.168.1.19","142.250.68.10","TCP","54","56913  >  443 [ACK] Seq=1 Ack=83 Win=255 Len=0"
"37","0.367784","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.189? Tell 209.33.202.177"
"38","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.180? Tell 209.33.202.177"
"39","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.217.69? Tell 209.33.217.65"
"40","0.409859","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.179? Tell 209.33.202.177"
"41","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.217.76? Tell 209.33.217.65"
"42","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.217.78? Tell 209.33.217.65"
"43","0.408788","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.182? Tell 209.33.202.177"
"44","0.411147","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.217.69? Tell 209.33.217.65"
"45","0.000000","13.89.223.27","192.168.1.19","TLSv1.2","265","Application Data"
"46","0.000070","192.168.1.19","13.89.223.27","TCP","54","55924  >  443 [ACK] Seq=1 Ack=212 Win=1021 Len=0"
"47","0.086407","192.168.1.19","8.8.4.4","TLSv1.2","421","Application Data"
"48","0.000000","192.168.1.19","8.8.8.8","TLSv1.2","421","Application Data"
"49","0.032690","8.8.4.4","192.168.1.19","TCP","60","443  >  56868 [ACK] Seq=1 Ack=368 Win=290 Len=0"
"50","0.004683","8.8.8.8","192.168.1.19","TCP","60","443  >  56905 [ACK] Seq=1 Ack=368 Win=277 Len=0"
"51","0.006989","8.8.4.4","192.168.1.19","TLSv1.2","1012","Application Data"
"52","0.010979","8.8.8.8","192.168.1.19","TLSv1.2","1013","Application Data"
"53","0.025353","192.168.1.19","142.251.2.84","TCP","66","56940  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"54","0.012215","192.168.1.19","8.8.4.4","TCP","54","56868  >  443 [ACK] Seq=368 Ack=959 Win=512 Len=0"
"55","0.015461","192.168.1.19","8.8.8.8","TCP","54","56905  >  443 [ACK] Seq=368 Ack=960 Win=255 Len=0"
"56","0.027035","142.251.2.84","192.168.1.19","TCP","66","443  >  56940 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"57","0.000111","192.168.1.19","142.251.2.84","TCP","54","56940  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"58","0.000059","192.168.1.19","142.251.2.84","TLSv1.3","571","Client Hello (SNI=accounts.google.com)"
"59","0.060602","142.251.2.84","192.168.1.19","TCP","60","443  >  56940 [ACK] Seq=1 Ack=518 Win=66816 Len=0"
"60","0.000160","142.251.2.84","192.168.1.19","TLSv1.3","2878","Server Hello, Change Cipher Spec"
"61","0.000122","192.168.1.19","142.251.2.84","TCP","54","56940  >  443 [ACK] Seq=518 Ack=2825 Win=131072 Len=0"
"62","0.000145","142.251.2.84","192.168.1.19","TCP","1466","443  >  56940 [ACK] Seq=2825 Ack=518 Win=66816 Len=1412 [TCP segment of a reassembled PDU]"
"63","0.000000","142.251.2.84","192.168.1.19","TLSv1.3","160","Application Data"
"64","0.000065","192.168.1.19","142.251.2.84","TCP","54","56940  >  443 [ACK] Seq=518 Ack=4343 Win=131072 Len=0"
"65","0.024433","192.168.1.19","142.251.2.84","TLSv1.3","134","Change Cipher Spec, Application Data"
